Pheno,Marker,Del_P_adj,Linkage_Class
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_3811172_4203782,0.0754580064579631,suggestive
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_4203783_4204963,0.0754580064579631,suggestive
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_4204964_5059530,0.025741747013883133,significant
Blup_Transfo_Area_2_cavities_filled_field_y1_y2,Chr02_5059531_5059566,0.08442159022570042,suggestive
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_3811172_4203782,0.04170089427037412,significant
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_4203783_4204963,0.04170089427037412,significant
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_4204964_5059530,0.012872110748048112,significant
Blup_Transfo_Area_2_cavities_filled_field_year2,Chr02_5059531_5059566,0.06951486330925136,suggestive
Blup_Transfo_Horiz_size_50perc_field_y1_y2,Chr02_4204964_5059530,0.05188474163589625,suggestive
Blup_Transfo_Horiz_size_50perc_field_year2,Chr02_4204964_5059530,0.03666819709782155,significant
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_3811172_4203782,0.07146134937878734,suggestive
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_4203783_4204963,0.07146134937878734,suggestive
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_4204964_5059530,0.01872605174400414,significant
Blup_Transfo_Horiz_size_75perc_field_y1_y2,Chr02_5059531_5059566,0.07146134937878734,suggestive
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_3811172_4203782,0.043523986785428515,significant
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_4203783_4204963,0.043523986785428515,significant
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_4204964_5059530,0.010149876107528655,significant
Blup_Transfo_Horiz_size_75perc_field_year2,Chr02_5059531_5059566,0.043523986785428515,significant
Blup_Transfo_Horiz_size_center_field_y1_y2,Chr02_3811172_4203782,0.07624412260299317,suggestive
Blup_Transfo_Horiz_size_center_field_y1_y2,Chr02_4203783_4204963,0.07624412260299317,suggestive
Blup_Transfo_Horiz_size_center_field_y1_y2,Chr02_4204964_5059530,0.02467822084631525,significant
Blup_Transfo_Horiz_size_center_field_y1_y2,Chr02_5059531_5059566,0.07624412260299317,suggestive
Blup_Transfo_Horiz_size_center_field_year2,Chr02_3811172_4203782,0.05262284284205427,suggestive
Blup_Transfo_Horiz_size_center_field_year2,Chr02_4203783_4204963,0.05262284284205427,suggestive
Blup_Transfo_Horiz_size_center_field_year2,Chr02_4204964_5059530,0.012976454915163891,significant
Blup_Transfo_Horiz_size_center_field_year2,Chr02_5059531_5059566,0.054474584305475346,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1_4524,0.025118632335069634,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_4525_349303,0.025118632335069634,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_349304_361275,0.025118632335069634,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_361276_876244,0.023251260590520635,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_876245_880558,0.06400874925197397,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_880559_1380844,0.07086630096375039,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1380845_1380870,0.06400874925197397,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1380871_1588241,0.025118632335069634,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1588242_1591077,0.029821915593653804,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_1591078_2117143,0.03289064135460604,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_2117144_2118662,0.025118632335069634,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_2118663_2439301,0.02146542530328512,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_2439319_3802076,0.07308733374553576,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_3811172_4203782,0.02146542530328512,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_4203783_4204963,0.02146542530328512,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_4204964_5059530,0.010947006463190958,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_5059531_5059566,0.032154724739359666,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_5059567_5396611,0.06400874925197397,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr02_5396612_5398283,0.06403638032109328,suggestive
Blup_Transfo_Num_Indents_field_year2,Chr02_1_4524,0.009779353699582332,confirmed
Blup_Transfo_Num_Indents_field_year2,Chr02_4525_349303,0.009779353699582332,confirmed
Blup_Transfo_Num_Indents_field_year2,Chr02_349304_361275,0.011620332883322213,significant
Blup_Transfo_Num_Indents_field_year2,Chr02_361276_876244,0.009779353699582332,confirmed
Blup_Transfo_Num_Indents_field_year2,Chr02_876245_880558,0.030865445447651314,significant
Blup_Transfo_Num_Indents_field_year2,Chr02_880559_1380844,0.030865445447651314,significant
Blup_Transfo_Num_Indents_field_year2,Chr02_1380845_1380870,0.0294610604203305,significant
Blup_Transfo_Num_Indents_field_year2,Chr02_1380871_1588241,0.009779353699582332,confirmed
Blup_Transfo_Num_Indents_field_year2,Chr02_1588242_1591077,0.012927614460765999,significant
Blup_Transfo_Num_Indents_field_year2,Chr02_1591078_2117143,0.013012114367765122,significant
Blup_Transfo_Num_Indents_field_year2,Chr02_2117144_2118662,0.009779353699582332,confirmed
Blup_Transfo_Num_Indents_field_year2,Chr02_2118663_2439301,0.0069730576827813,confirmed
Blup_Transfo_Num_Indents_field_year2,Chr02_2439302_2439318,0.05197748205505422,suggestive
