Pheno,Marker,Dos_P_adj,Linkage_Class
Blup_Transfo_Circularity_field_y1_y2,Chr01_11289028_11965532,0.04878037202355926,significant
Blup_Transfo_Circularity_field_y1_y2,Chr01_11965533_11966198,0.04878037202355926,significant
Blup_Transfo_Circularity_field_y1_y2,Chr01_11966199_12330339,0.04878037202355926,significant
Blup_Transfo_Circularity_field_y1_y2,Chr01_12330340_12330527,0.04878037202355926,significant
Blup_Transfo_Circularity_field_y1_y2,Chr01_12330528_13051606,0.04878037202355926,significant
Blup_Transfo_Circularity_field_y1_y2,Chr01_16454791_19216253,0.039476301358703274,significant
Blup_Transfo_Circularity_field_y1_y2,Chr01_36467176_36477457,0.07587723858213219,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr01_36477458_36677915,0.07587723858213219,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr01_36677916_36678639,0.07587723858213219,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr01_36678640_37008510,0.07587723858213219,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr01_37008511_37008685,0.07587723858213219,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr01_37008686_37399402,0.07587723858213219,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr01_37399403_37399747,0.07587723858213219,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr01_37399748_38492440,0.07587723858213219,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr01_38492441_38553272,0.07587723858213219,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr09_3897498_4348780,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4348781_4349349,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4349350_4815906,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4815907_4815948,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4815949_4950038,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4950039_4951556,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4951557_5226408,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_5226409_5226548,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_9461598_10169168,0.07824438796273868,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr09_10169169_10546219,0.07824438796273868,suggestive
Blup_Transfo_Circularity_field_y1_y2,Chr09_10546220_10546584,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_10546585_10817737,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_10817738_10817792,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_10817793_11190661,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_11190662_11198784,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_11198785_11824088,0.024884675775703594,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_11824089_11824143,0.024884675775703594,significant
