Pheno,Marker,Dos_P_adj,Linkage_Class
Blup_Transfo_Circularity_field_y1_y2,Chr09_3897498_4348780,0.048189284,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4348781_4349349,0.048189284,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4349350_4815906,0.048189284,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4815907_4815948,0.048189284,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4815949_4950038,0.048189284,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4950039_4951556,0.048189284,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4951557_5226408,0.048189284,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_5226409_5226548,0.048189284,significant
Blup_Transfo_Circularity_field_year2,Chr09_3897498_4348780,0.073769711,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4348781_4349349,0.073769711,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4349350_4815906,0.073769711,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4815907_4815948,0.073769711,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4815949_4950038,0.073769711,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4950039_4951556,0.073769711,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4951557_5226408,0.073769711,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_5226409_5226548,0.073769711,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_8021339_8546533,0.051584418,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_10127776_10700451,0.080908211,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_11189459_11289027,0.06064874,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_11289028_11965532,0.042568342,significant
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_11965533_11966198,0.042568342,significant
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_11966199_12330339,0.051441018,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_12330340_12330527,0.051584418,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_12330528_13051606,0.055664874,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_13051607_13052006,0.071994563,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_13052007_13382483,0.068408771,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_13382484_13382509,0.067253539,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_13382510_13576339,0.072613101,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_13576340_13576350,0.072613101,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_13576351_14061355,0.072613101,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_14061356_14061634,0.072957768,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_14061635_14604721,0.072613101,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_14604722_14607157,0.06064874,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_14607158_15449572,0.06064874,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_15449573_15456448,0.059789938,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr09_3897498_4348780,0.06064874,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr09_4348781_4349349,0.059789938,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr09_4349350_4815906,0.059789938,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr09_4815907_4815948,0.06064874,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr09_4815949_4950038,0.061895173,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr09_4950039_4951556,0.06064874,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr09_4951557_5226408,0.06064874,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr09_5226409_5226548,0.059789938,suggestive
