Phenotype,Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage
Num_Indent_y2,Chr01_29264773_29827856,0.139637437941858,0.102499531540302,0.023939828553457,0.22279248910179,0.0316044190340895
Num_Indent_y2,Chr01_31299043_32249075,0.00765812793209216,0.0205699171728327,0.0258547217845438,0.0179238951586719,0.0181563091778018
Num_Indent_y2,Chr01_32254239_32925441,0.00548805266133881,0.00779273189722666,0.0300443871399873,0.0134493401251281,0.016774666524763
Num_Indent_y2,Chr01_32925677_33648211,0.00882358959022579,0.0777844174689137,0.0441974897268193,0.0232616269365908,0.0279985380993844
Num_Indent_y2,Chr01_33648862_33944256,0.0116232636157192,0.162759014531024,0.0356286881737401,0.0247912181098199,0.0258065876251091
Num_Indent_y2,Chr17_13349543_13731534,0.0688025786152701,0.295934229807395,0.0251702072595883,0.091222037162089,0.0204979496050902
Indent_width_y2,Chr06_4333526_4729813,0.967934484149062,0.420978913104347,0.0321222833596464,0.948633476064454,0.0391622493329798
Indent_width_y2,Chr06_4730191_4943086,0.867746344061613,0.371448132449279,0.0203395054053438,0.999741630631307,0.0294110559823415
Indent_width_y2,Chr06_4945021_5645609,0.768800307338257,0.973596116114429,0.0320159260835915,0.964014837056451,0.0336721364058744
Indent_width_y2,Chr06_5645658_6007252,0.985207010341669,0.891942307618415,0.0374709532458146,0.910297733215643,0.0397297574536796
Indent_width_y2,Chr06_6023230_6323822,0.920594376468509,0.97347445328969,0.0314660346327685,0.872722989756307,0.0338493781149117
Indent_width_y2,Chr03_13626007_14147424,0.781954278729598,0.55945384926298,0.00964779742312896,0.789228637312696,0.0111330680435877
Indent_width_y2,Chr03_17402556_18052868,0.797590956356681,0.124036036301934,0.00478599231947474,0.790629861935251,0.00511796829676954
Indent_width_y2,Chr03_18156487_19255904,0.649063821337143,0.0838988337300995,0.00411713434199347,0.666500978929449,0.00354233836954924
Indent_width_y2,Chr03_19255932_20053666,0.665917515675844,0.581590993565537,0.0126244155715761,0.680773533370209,0.00986341110969461
Indent_width_y2,Chr10_7324726_7568912,0.0729911155749548,0.174382458823345,0.0490579422773553,0.0684539025589301,0.0499219194867048
Indent_width_y2,Chr09_11824144_12217367,0.283349830117837,0.868238218185846,0.0398221508661972,0.240645866933576,0.0432259556798916
