Phenotype,Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage
Num_Indent_y2,Chr01_28712703_29260469,0.137497033267336,0.0495670477167553,0.0935266405670515,0.21530795793121,"NA"
Num_Indent_y2,Chr01_31299043_32249075,0.00765812793209216,0.0205699171728327,0.0258547217845438,0.0179238951586719,0.0181563091778018
Num_Indent_y2,Chr01_32254239_32925441,0.00548805266133881,0.00779273189722666,0.0300443871399873,0.0134493401251281,0.016774666524763
Num_Indent_y2,Chr06_5645658_6007252,0.0488828654439344,0.0367667845346954,0.794298410143211,0.0185816120019795,0.565459155426554
Num_Indent_y2,Chr06_6023230_6323822,0.0360628521286751,0.0478457148737338,0.828365330524765,0.0145581652394626,0.580655873268651
Num_Indent_y2,Chr02_880559_1380844,0.199143281647168,0.000522720193626428,0.0618988650797307,0.364645824981905,0.0598810001402121
Num_Indent_y2,Chr02_1591078_2117143,0.204494921625469,0.00016316130868671,0.991219140397676,0.389120094581412,"NA"
Num_Indent_y2,Chr02_2439319_3802076,0.0782728872741106,0.000461772106901732,0.651464414487934,0.166032002454034,"NA"
Num_Indent_y2,Chr02_5059567_5396611,0.106249506960461,0.000847933165729817,0.674454653478917,0.216912869786167,"NA"
Num_Indent_y2,Chr02_5398284_5923170,0.12257275614803,0.00587900312409043,0.837957117135118,0.215957963854063,"NA"
Num_Indent_y2,Chr02_6498866_6748647,0.300015466672305,0.0244907054298092,0.0714999211815012,0.459158014992227,"NA"
Num_Indent_y2,Chr02_6759683_7031301,0.288820117394736,0.0140479609697954,0.184734111887713,0.40035649195632,0.209579621054468
Num_Indent_y2,Chr02_15347679_15710186,0.41979848194024,0.0417389693742919,0.305644059576025,0.228465673188062,0.376331361247071
Num_Indent_y2,Chr02_15710673_16424164,0.999721048260294,0.0222633450970667,0.146966576870403,0.82478012293482,"NA"
Num_Indent_y2,Chr08_3336327_3584862,0.618965064434986,0.0249663052089897,0.180391167710877,0.860181789402324,0.167169268423083
Num_Indent_y2,Chr08_3587356_3989020,0.609383448761409,0.0453380639899139,0.203097149645793,0.834787390828271,0.189273253845316
Num_Indent_y2,Chr08_4449515_5019584,0.651360408898836,0.0236167032606322,0.582165282816083,0.958002745558908,"NA"
Num_Indent_y2,Chr08_5029274_5540148,0.834495468620643,0.0403157208137703,0.984984925674328,0.874048806395793,"NA"
Num_Indent_y2,Chr08_6044930_6375617,0.84102633049144,0.0244931540508577,0.958333840957775,0.845870871598976,"NA"
Num_Indent_y2,Chr08_6375626_6805444,0.833621719097993,0.0379189544265245,0.221893118348041,0.85112680157001,0.205018944809441
Num_Indent_y2,Chr08_6805602_7350099,0.787754183011107,0.0419622163893893,0.261809062716848,0.910986706246145,0.232316104905104
Num_Indent_y2,Chr08_7385235_8118037,0.792023022242586,0.0286082127184304,0.267293116968109,0.873838481294378,0.229844439898609
Num_Indent_y2,Chr08_8449800_8952307,0.446172061286574,0.0498049120838074,0.571119828641514,0.642485439298673,0.508091394930129
