Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.590222915719774,0.824546234017418,0.394182965926304,0.89917165603906,Chr01_1_126237,0.9863185311382278,0.9064053355663617,0.960396055201762,1,1
Chr01_126238_809425,0.590222915719774,0.824546234017418,0.394182965926304,0.89917165603906,Chr01_126238_809425,0.9863185311382278,0.9064053355663617,0.960396055201762,1,126238
Chr01_809426_814269,0.658955408503226,0.796213721359937,0.305184574518374,0.940762344394023,Chr01_809426_814269,0.9863185311382278,0.8433006057561443,0.9659332432406857,1,809426
Chr01_814270_1367747,0.552656323507132,0.979712681796778,0.249902899827933,0.783050075493121,Chr01_814270_1367747,0.999145736747444,0.7945417778582455,0.9384604813667634,1,814270
Chr01_1367748_1367899,0.781446215576139,0.434678179093886,0.444882299836703,0.752834178134983,Chr01_1367748_1367899,0.9384681011981024,0.9384256751478375,0.9217483467201024,1,1367748
Chr01_1367900_2042574,0.729639486183653,0.45620320222429,0.412507105492158,0.737353415157436,Chr01_1367900_2042574,0.9495219833551054,0.92606958009409,0.921322839189145,1,1367900
Chr01_2042575_2043251,0.841258385017133,0.345595609630912,0.547722072280787,0.752360487003968,Chr01_2042575_2043251,0.9384681011981024,0.9655688295131106,0.9217483467201024,1,2042575
Chr01_2043252_2231677,0.749330256546633,0.952089902052716,0.846627229789292,0.923320536425517,Chr01_2043252_2231677,0.9979737527540516,0.9892823674094657,0.960396055201762,1,2043252
Chr01_2231678_2231705,0.465428965154226,0.63990774029924,0.66528086312312,0.827266952716241,Chr01_2231678_2231705,0.9712973577853038,0.9749981409017241,0.9497280217921215,1,2231678
Chr01_2231706_3033846,0.443792203284317,0.612582541887803,0.644374914546025,0.820736376294585,Chr01_2231706_3033846,0.9712973577853038,0.9683334395065049,0.9497280217921215,1,2231706
Chr01_3033847_3052413,0.295471103974217,0.537480145887277,0.467343817801876,0.722460601751183,Chr01_3033847_3052413,0.9712973577853038,0.940688333788806,0.9202842099258296,1,3033847
Chr01_3052414_4229970,0.345169733245817,0.847289355645155,0.0659224586855838,0.673643301227226,Chr01_3052414_4229970,0.9863185311382278,0.68223977708772,0.9159001349120882,1,3052414
Chr01_4229971_4235626,0.696609936669044,0.814142957774694,0.0919498711731863,0.423772409106181,Chr01_4229971_4235626,0.9863185311382278,0.68223977708772,0.8420590912336412,1,4229971
Chr01_4235627_5264100,0.666016525073508,0.938167513290671,0.0635468155350037,0.434038048313255,Chr01_4235627_5264100,0.9922997376468036,0.68223977708772,0.8514356602694523,1,4235627
Chr01_5264101_5264149,0.708934496502277,0.899478715909755,0.0641529287060698,0.450864131642724,Chr01_5264101_5264149,0.9897558483845831,0.68223977708772,0.8732825767464748,1,5264101
Chr01_5264150_5885231,0.784611715403317,0.754918481601239,0.0574556468850361,0.460045911499753,Chr01_5264150_5885231,0.9863185311382278,0.68223977708772,0.8827130926901511,1,5264150
Chr01_5885232_5886075,0.238990507671666,0.837530384409416,0.0808215901817147,"NA",Chr01_5885232_5886075,0.9863185311382278,0.68223977708772,NA,1,5885232
Chr01_5886076_6253003,0.27717042842318,0.854790577513255,0.292496078306196,"NA",Chr01_5886076_6253003,0.9863185311382278,0.8306194271187821,NA,1,5886076
Chr01_6253004_6253851,0.27239837344739,0.768086313267221,0.432475131251073,"NA",Chr01_6253004_6253851,0.9863185311382278,0.9384256751478375,NA,1,6253004
Chr01_6253852_6811196,0.331339177426551,0.791455150261731,0.430991443989126,"NA",Chr01_6253852_6811196,0.9863185311382278,0.9384256751478375,NA,1,6253852
Chr01_6811197_6811650,0.148976252071532,0.468643091440468,0.166469927726271,"NA",Chr01_6811197_6811650,0.9495219833551054,0.7356487269140795,NA,1,6811197
Chr01_6811651_7107385,0.18084979814061,0.625593214281576,0.136055395005321,"NA",Chr01_6811651_7107385,0.9712973577853038,0.6965197742830173,NA,1,6811651
Chr01_7107386_7117068,0.197756547128887,0.734362709689704,0.0256103077478726,"NA",Chr01_7107386_7117068,0.9845328440719427,0.68223977708772,NA,1,7107386
Chr01_7117069_8021093,0.0817093535661136,0.774869620575278,0.0213541845382649,0.163689007787651,Chr01_7117069_8021093,0.9863185311382278,0.68223977708772,0.7593382091616692,1,7117069
Chr01_8021094_8021338,0.417306053110658,0.934427514512675,0.0777344283944537,"NA",Chr01_8021094_8021338,0.9922997376468036,0.68223977708772,NA,1,8021094
Chr01_8021339_8546533,0.279406609698415,0.807603732143119,0.135083342200722,"NA",Chr01_8021339_8546533,0.9863185311382278,0.6965197742830173,NA,1,8021339
Chr01_8546534_8548055,0.352520074710355,0.991720778902404,0.124288608144074,"NA",Chr01_8546534_8548055,0.999145736747444,0.68223977708772,NA,1,8546534
Chr01_8548056_9439189,0.310482357207039,0.985425334149695,0.225282160215119,"NA",Chr01_8548056_9439189,0.999145736747444,0.7848857719601144,NA,1,8548056
Chr01_9439190_9439923,0.526741156011634,0.858358376224122,0.118234787108227,"NA",Chr01_9439190_9439923,0.9863185311382278,0.68223977708772,NA,1,9439190
Chr01_9439924_10127710,0.433107682963591,0.936744682061205,0.170588126011275,"NA",Chr01_9439924_10127710,0.9922997376468036,0.7400313155230399,NA,1,9439924
Chr01_10127711_10127775,0.534470568805091,0.773162995012752,0.219170202523756,"NA",Chr01_10127711_10127775,0.9863185311382278,0.781959290436267,NA,1,10127711
Chr01_10127776_10700451,0.692644433664314,0.497182314861781,0.118907771921927,"NA",Chr01_10127776_10700451,0.9704021538083952,0.68223977708772,NA,1,10127776
